Station,1e-waterpassing nulpaal,Hoogte t.o.v. oude NAP [mm],Hoogte t.o.v. nieuwe NAP [mm],verschil [mm],referentie
Bath,1992-08-29,4106.4,4089.3,-17.1,"Dillingh 2013, Deltares"
Bergse Diepsluis west,1989-02-15,7363.1,7348.3,-14.8,"Dillingh 2013, Deltares"
Brouwershavense Gat 08,1978-01-01,2963.1,2933.9,-29.2,"Dillingh 2013, Deltares"
Cadzand,1988-01-08,6070,6042.6,-27.4,"Dillingh 2013, Deltares"
Delfzijl,1978-01-01,4285.3,4277.1,-8.2,"Dillingh 2013, Deltares"
Den Helder,1970-06-15,6270.7,6253.9,-16.8,"Dillingh 2013, Deltares"
Den Oever,1981-01-01,4940.7,4915.4,-25.3,"Dillingh 2013, Deltares"
Eemshaven,1978-01-01,3791.4,3781.4,-10,"Dillingh 2013, Deltares"
Haringvliet 10,1984-09-27,829,808,-21,"Dillingh 2013, Deltares"
Hansweert,1965-01-01,4758.7,4744.8,-13.9,"Dillingh 2013, Deltares"
Harlingen,1966-01-01,6992.5,6986,-6.5,"Dillingh 2013, Deltares"
Hoek van Holland,1969-01-01,4854.8,4827.1,-27.7,"Dillingh 2013, Deltares"
Huibertgat,1982-09-15,2651.8,2635,-16.8,"Dillingh 2013, Deltares"
IJmuiden,1980-01-01,4471.3,4449.5,-21.8,"Dillingh 2013, Deltares"
Kornwerderzand,1981-01-01,5268,5270.5,2.5,"Dillingh 2013, Deltares"
Krammersluizen west,1992-09-07,6011,6001.8,-9.2,"Dillingh 2013, Deltares"
Lauwersoog,1969-01-01,6948.5,6936,-12.5,"Dillingh 2013, Deltares"
Nes,1986-04-07,3772.2,3761.1,-11.1,"Dillingh 2013, Deltares"
Nieuwe Statenzijl,1994-12-05,8060.9,8057.7,-3.2,"Dillingh 2013, Deltares"
Oudeschild,1970-06-15,6738.3,6718,-20.3,"Dillingh 2013, Deltares"
Petten,1997-09-20,6584.1,6553,-31.1,"Dillingh 2013, Deltares"
Roompot binnen,1988-01-08,5936,5906.4,-29.6,"Dillingh 2013, Deltares"
Roompot buiten,1988-01-08,5936,5906.4,-29.6,"Dillingh 2013, Deltares"
Scheveningen,1970-06-15,6502,6489.8,-12.2,"Dillingh 2013, Deltares"
Schiermonnikoog,1986-03-11,2355.9,2346.2,-9.7,"Dillingh 2013, Deltares"
Stavenisse,1982-01-01,7161.2,7140.8,-20.4,"Dillingh 2013, Deltares"
Terneuzen,1967-01-01,7319.1,7298,-21.1,"Dillingh 2013, Deltares"
Terschelling Noordzee,1989-09-19,3527.9,3503.6,-24.3,"Dillingh 2013, Deltares"
Texel Noordzee,1989-09-19,2661.1,2642.4,-18.7,"Dillingh 2013, Deltares"
Vlieland haven,1981-01-01,6818.4,6796.7,-21.7,"Dillingh 2013, Deltares"
Vlissingen,1982-08-31,4699.8,4670.1,-29.7,"Dillingh 2013, Deltares"
Westkapelle,1979-01-01,7503.7,7481.9,-21.8,"Dillingh 2013, Deltares"
West-Terschelling,1970-06-15,6764.2,6742.8,-21.4,"Dillingh 2013, Deltares"
Wierumergronden,1982-09-15,2651.8,2635,-16.8,"Dillingh 2013, Deltares"
